Priority,PMID,Title,Reason,R1_Decision,R1_Notes,R2_Decision,R2_Notes,Consensus
MEDIUM,31566050,A new instrument for surgical stabilization of multiple rib ,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,31804414,"A multicenter, prospective, controlled clinical trial of sur",MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,32077558,Traumatic lung herniation managed by rib fixation alone.,MEDIUM: Elderly + SSRF (check comparison),,,,,
MEDIUM,32551164,The benefits of early rib fixation for clinical outcomes of ,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,32652795,Use of a pectus bar for surgical stabilization of cardiopulm,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,33010876,No difference in mortality between level I and level II trau,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,33547910,Safety and effectiveness of surgical fixation versus non-sur,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,33951024,A randomized clinical trial of single dose liposomal bupivac,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,35128563,Surgical stabilization of serial rib fractures is advantageo,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,35390577,Surgical Rib Fixation of Multiple Rib Fractures and Flail Ch,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,35655728,"A Cohort Study on the Comparison of Complications, Short-Ter",MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,36056421,Effectiveness of rib fixation compared to pain medication al,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,36579572,Tailored Surgical Stabilization of Rib Fractures Matters Mor,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,36905532,Minimally invasive surgery for anterior flail chest injury i,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,36949054,Early surgical stabilization of rib fractures for flail ches,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,37691685,A clinical study on the surgical treatment of simple multipl,MEDIUM: Elderly + comparison in treatment context,,,,,
MEDIUM,38955570,Surgical stabilization of rib fractures in anticoagulated pa,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,39848935,[Thoracoscopic minimally invasive surgery for the treatment ,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,40097457,Risk factors associated with medium- to long-term outcome an,MEDIUM: Elderly + comparison in treatment context,,,,,
MEDIUM,40299043,Morbidity prediction in conservatively managed rib fracture ,MEDIUM: Elderly + comparison in treatment context,,,,,
MEDIUM,4035027,[Surgical treatment of flail chest by sliding staples].,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,40390007,Clinical outcomes of rib fracture stabilization and conserva,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,40392360,Comparison of long-term outcome between muscle sparing and n,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,40552209,Different outcomes after surgical stabilization of one versu,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,40846532,Real-world time-trend impact of rib fracture fixation on pat,MEDIUM: SSRF + comparison (check elderly),,,,,
MEDIUM,41158727,Surgical stabilization of flail sternum and bilateral chest ,MEDIUM: Elderly + SSRF (check comparison),,,,,
LOW,11505635,Flail chest stabilization with palacos prosthesis.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,1637248,Surgical stabilization of the flail chest.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,17058658,[Surgical stabilization of multiple rib fracture and flail c,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,17410733,[Technique of internal surgical stabilization for flail ches,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,17514061,Surgical stabilization of a rib fracture using an angle stab,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,17650694,The management of flail chest.,LOW: Elderly treatment (no SSRF comparison),,,,,
LOW,21318951,Treatment with internal pneumatic stabilization for anterior,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,21351621,[Internal fixation treatment of multiple rib fractures with ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,21825950,Treatment of traumatic flail chest with muscular sparing ope,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,22008859,Early stabilization of flail chest with locked plate fixatio,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,22190569,Does surgical stabilization improve outcomes in patients wit,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,22510188,Rib fixation for a traumatic 'stove-in chest': an option to ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,22815325,Experience with titanium devices for rib fixation and covera,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,22910817,Surgical stabilization of flail chest injuries with MatrixRI,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,23200067,Rigid plate fixation promotes better bone healing after ster,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,23420330,Evaluation of long-term results and quality of life in patie,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,24507379,Long-term patient outcomes after surgical stabilization of r,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,24743414,[Evaluation of long-term results in patients who underwent r,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,24838236,Modified application of a wound retractor for surgery in che,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,24887787,Contemporary management of flail chest.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,25238337,Medial scapular winging associated with rib fractures and pl,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,25624272,Surgical rib fixation - technical aspects.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,25742255,Surgical stabilization of severe rib fractures.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,26072282,Regarding: Long-term patient outcomes after surgical stabili,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,26307889,Surgical stabilization of severe rib fractures: Several cave,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,26454653,Surgical stabilization of severe rib fractures decreases inc,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,26521992,Pitfalls associated with open reduction and internal fixatio,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,26693118,A Case of Traumatic Flail Chest Requiring Stabilization with,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,26850079,The role of a video-assisted thoracic approach for rib fixat,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,26889439,The Role of Minimally Invasive Plate Osteosynthesis in Rib F,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,27073261,In patients with acute flail chest does surgical rib fixatio,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,27192468,Delayed presentation of pulmonary hernia following surgical ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,27293864,Nuss procedure for surgical stabilization of flail chest wit,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,27431822,eReply: In patients with acute flail chest does surgical rib,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,27495253,An assessment of outcomes with intramedullary fixation of fr,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,27666641,"Reply to ""Open reduction and internal fixation of rib fractu",LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,27912931,Consensus statement: Surgical stabilization of rib fractures,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,27939010,Addition of Video-Assisted Thoracoscopic Surgery to the Trea,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,29077677,A multicenter evaluation of the optimal timing of surgical s,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,29429475,"[Osteosynthesis of rib fractures, unstable chest wall, pseud",LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,29803251,Surgical Stabilization of Rib Fractures: Another Institution,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,30043074,[Injuries of the posterior and lateral chest wall-importance,LOW: Elderly treatment (no SSRF comparison),,,,,
LOW,30186934,Taking the bull by the horns: Patient trampled by bull requi,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,30229337,Long-term follow-up after rib fixation for flail chest and m,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,30268166,Flail Chest: Influence on Length of Stay and Mortality in Bl,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,30542416,Thoracoscope combined with internal support system of chest ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,30562256,The Role of Surgical Stabilization of Rib Fractures in Polyt,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,30984813,Manubriosternal joint dislocation due to blunt force trauma.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,31107433,Characteristics of hardware failure in patients undergoing s,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,31186011,Analysis of the advantages of 3D printing in the surgical tr,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,31205757,Surgical stabilization of rib fractures.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,31299437,A Statewide Assessment of Rib Fixation Patterns Reveals Miss,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,31872020,Latissimus muscle sparing approach to subscapular rib fractu,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,31872025,An unexpected fracture of a titanium rib plate in a patient ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,32345905,Surgical stabilization of rib fractures during the COVID-19 ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,32395057,Stability of Surgical Rib Fixation Hardware after Repeat Che,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,32535558,SURGICAL STABILIZATION OF MULTIPLE RIB FRACTURES AND MULTIPL,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,32590555,"In response to: A multicenter, prospective, controlled clini",LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,32669087,Feasibility of laryngeal mask anesthesia combined with nerve,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,32742393,Application of rib surface positioning ruler combined with v,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,32754746,Outcomes of chest wall fixation in cardiopulmonary resuscita,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,32850255,Negative Pressure Wound Therapy Can Prevent Surgical Site In,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,32876772,Long-term quality of life and functional outcome after rib f,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,32909107,Characterization and influence of ipsilateral scapula fractu,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,33062899,Long-term outcomes of surgical rib fixation in patients with,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,33210171,Effectiveness of surgical fixation for rib fractures in rela,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,33212228,Surgical Stabilization of Rib Fracture to Mitigate Pulmonary,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,33590301,CT-derived sarcopenia should not preclude surgical stabiliza,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,33612257,Heterogeneity in managing rib fractures across non-trauma an,LOW: Elderly treatment (no SSRF comparison),,,,,
LOW,33674241,The Effects of Add-On Self-Care Therapy on Epidural Catheter,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,33675706,Complete Video-assisted Thoracoscopic Surgery for Rib Fractu,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34016934,Reversed contour rib plate for surgical stabilization of jux,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34164169,Prosthetic-free ribs stabilization technique in critical com,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34215437,Surgical stabilization of traumatic rib fractures is associa,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34333416,Systematic Review and Meta-Analysis of Hardware Failure in S,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34417409,Three-dimensional volume-rendered computed tomography applic,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34446656,Intercostal nerve cryoablation during surgical stabilization,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34491948,Evaluation of Patient Information Material in the Consent Pr,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34565619,"""Early results after initiation of a rib fixation programme:",LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34629459,Surgical stabilization of severe chest wall injury following,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34806413,Outcomes of Trauma Patients with Flail Chest and Surgical Ri,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,34859685,Video-Assisted Thoracoscopic Internal Rib Fixation.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35088110,Outcome after surgical stabilization of symptomatic rib frac,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35101018,Surgical stabilization of the ipsilateral scapula and rib fr,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35251663,Placement of KANI(R) plate inside the chest wall for rib fix,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35513938,Long term outcomes following rib fracture fixation in patien,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35522129,Surgical Infection Society: Chest Wall Injury Society Recomm,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35618606,Surgical stabilization of iatrogenic rib fractures following,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35638213,Surgical fixation of rib fractures improves 30-day survival ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35723830,It is Time to Replace Large Drains with Small Ones After Fix,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35794958,Extensive traumatic anterior chest wall injury including typ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35972185,Lucky number 13: Association between center-specific chest w,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,35993872,Does surgical fixation improve pain and quality of life in p,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,36063892,Revisable and high-strength wheel-spun alginate/graphene oxi,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,36498097,Hospital-Based Rehabilitation of Patients Who Had Undergone ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,36759310,Surgical stabilization of rib fractures in patients with pul,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,36878787,Early surgical fixation of traumatic rib fracture affects th,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37038166,The effectiveness of early surgical stabilization for multip,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37403105,If we should remove internal fixation devices for rib fractu,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37573062,Is enthusiasm for rib fixation outstripping the evidence?,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,376231,Early and late results of controlled ventilation in flail ch,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37646136,Evolution of Pulmonary Contusions in Patients With Severe Ri,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37697466,Better late than never-a single-center review of delayed rib,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37728432,Chest Wall Injury Society recommendation for surgical stabil,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37742123,"[Treatment of traumatic rib fractures].
LID - D7434 [pii]",LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37818507,A Retrospective Two-Year Review of the Outcomes of Surgical ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37822127,Evaluating the impact of timing to rib fixation in patients ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37829598,3D-printed external fixation guide combined with video-assis,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37866069,Timing to Rib Fixation in Patients With Flail Chest.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37868848,Surgical stabilization of multiple rib fractures in an Asian,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,37903489,Association of Early Rib Plating on Clinical and Financial O,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38038173,Recent Advances in Rib Plating.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38090313,Door to door in 24: factors that allow surgical stabilizatio,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38172889,Letter to the Editor: The effectiveness of early surgical st,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38196120,Surgical stabilization of rib fractures for flail chest: Ana,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38249907,Early surgical stabilization of rib fractures (SSRF) is bett,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38256413,Early Repair of Rib Fractures Is Associated with Superior Le,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38366645,The therapeutic value of vacuum external fixation in polytra,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38419582,Commentary: Optimal Timing for Surgical Stabilization of Rib,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38569537,The Effects of Pulmonary Risk Factors and Combination Thorac,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38633376,Suture fixation of traumatic rib fracture flail segment with,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38644174,[A Review of 70 Cases of Thoracic Trauma with Rib Fixation:I,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38649314,Together is better - RibScore and SCARF in the prediction of,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38671072,The application of electrical impedance tomography and surgi,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,38945079,Surgical stabilisation of rib fractures: A meta-analysis of ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39005708,Time to surgical stabilization of rib fractures: does it imp,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39161374,Beyond guidelines: surgical stabilization of rib fractures i,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39294006,Surgical stabilization of rib fractures-Does race matter?,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39303646,Inpatient Outcomes of Intercostal Nerve Cryoablation With Su,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39381704,Clinical characteristics of patients with the hardware failu,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39405440,It doesn't hurt as long as I don't move: Aligning pain asses,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39425134,Surgical stabilization of rib fractures (SSRF): the WSES and,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39499986,An early analysis of polyetheretherketone (PEEK) plates for ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39548542,Ultra minimally invasive surgical stabilization of Rib fract,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39708178,Short-term follow-up of single-port thoracoscopic rib fractu,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39786558,Outcomes of internal rib fixation through complete video-ass,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39808710,Embracing a New Horizon in Orthopaedic Surgery: Chest Wall I,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39845586,"Rib fracture management: A review of surgical stabilization,",LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39856261,Surgical stabilisation of rib fractures in non-ventilated pa,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39881319,Correction: Surgical stabilization of rib fractures (SSRF): ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,39969627,Surgical rib fixation in patients with cardiopulmonary disea,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,40240230,Ultrasound-guided percutaneous cryoneurolysis of intercostal,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,40500029,Risk factors affecting the efficacy of open reduction and in,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,40556002,Completely thoracoscopic surgical stabilization of rib fract,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,40608005,Predictors of Discharge Disposition Following Surgical Stabi,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,40743442,Surgical Stabilization of Rib Fractures: Relative Importance,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,40802491,Chest Wall Injury Society guidelines for surgical stabilizat,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,40835768,One-year patient-reported outcomes following surgical stabil,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,40844620,Feasibility and efficacy of video-assisted thoracoscopic sur,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,40950920,Reconsidering rib fixation: is a complete video-assisted tho,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,40976804,Surgical stabilization of flail chest: a retrospective evalu,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,41466428,Surgical treatment of rib fractures more than one month afte,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,41555354,Impact of inflammatory biomarkers and surgical interventions,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,41578721,Current and Emerging Techniques for Surgical Stabilisation o,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,41604277,"Chilling the nerve, easing the pain?: A randomized clinical ",LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,41609836,"""Anchor-type"" incision for surgical stabilization of anterio",LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,41772696,The impact of injury severity and age on short-and long-term,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,41881849,A Multicenter Randomized Controlled Trial on the Surgery of ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,41972215,Assessment of Pendelluft Using Electrical Impedance Tomograp,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,42007603,The Surgical Stabilization of Rib Fractures: Secular Trends ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,42041126,"Comments on: ""Chest Wall Injury Society guidelines for surgi",LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,42130336,Early surgical stabilization of multiple rib fractures: A da,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,666548,[The fixation of the flail chest with tension band wires (au,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,8800183,On internal fixation for flail chest.,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,9594898,Use of 3.5-mm acetabular reconstruction plates for internal ,LOW: SSRF only (no elderly/comparison clear),,,,,
LOW,9930526,Reconstruction plates for internal fixation of flail chest.,LOW: SSRF only (no elderly/comparison clear),,,,,
EXCLUDE,1002505,[Indications for the reconstruction of the unstable thorax d,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,10215225,Bioabsorbable poly-L-lactide costal coaptation pins and thei,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,10353551,Pancreatic trauma: Universities of Melbourne HPB Group.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,10443524,Non-penetrating subclavian artery trauma: management by sele,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,10697096,Painful nonunion of multiple rib fractures managed by operat,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,10870371,Bladder entrapment after external fixation of traumatic pubi,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,10917472,Nonsurgical management of solid abdominal organ injury in pa,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,1100923,Operative stabilization of nonpenetrating chest injuries.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,1105874,Surgical stabilization of traumatic flail chest.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,11198758,Management of flail chest.,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,11284275,[Triple fracture of the superior shoulder suspensory complex,WP: No rib fracture focus,,,,,
