#,PMID,Title,Decision_R1,Reason_R1,Decision_R2,Reason_R2,Consensus
39,26693119,Stabilization of Flail Chest and Fractured Sternum by Minimally Invasive Repair ,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
40,37728432,Chest Wall Injury Society recommendation for surgical stabilization of nonunited,Exclude,CWIS recommendation: nonunited rib fractures. Wrong population (nonunion),,,
41,22936227,Non operative management of gunshot wounds on the right thoracoabdomen.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
42,9805739,[Evaluation of the risk of mediastinal or retroperitoneal injuries caused by  do,Exclude,NO MATCH: Doesn't meet PICO criteria,,,
43,34686638,Is intrathoracic rib plate fixation advantageous over extrathoracic plating? A  ,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
44,37183169,Early Surgical Stabilization of Rib Fractures is Feasible in Patients With  Non-,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
45,30482587,CT-lung volume estimates in trauma patients undergoing stabilizing surgery for  ,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
46,22008859,Early stabilization of flail chest with locked plate fixation.,Unclear,Early stabilization locked plate flail chest. Check elderly + comparator,,,
47,19590338,Spontaneous fractures of Judet struts.,Exclude,NO MATCH: Doesn't meet PICO criteria,,,
48,31885692,Current status and research progress of minimally invasive surgery for flail  ch,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
49,34458543,Surgical stabilization of rib fractures in symptomatic COVID-19: A case report.,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
50,23006695,Nonoperative management of blunt traumatic cardiac rupture: considerations of a ,Exclude,CLEAR: Animal/cadaver/pediatric/case report,,,
